GeneSymbol,Ensemble,Gene description,0H_sorted.bam,1H_sorted.bam,2H_sorted.bam,4H_sorted.bam,8H_sorted.bam,12H_sorted.bam,24H_sorted.bam
CHIC1,ENSG00000204116,cysteine rich hydrophobic domain 1 [Source:HGNC Symbol;Acc:HGNC:1934],5.875564,5.9400797,5.9290385,4.172805,5.848633,5.6664786,4.7337327
RPA4,ENSG00000204086,replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305],15.384615,10.80437,12.879696,7.8401623,2.3343098,3.2378423,5.2322803
TCEAL6,ENSG00000204071,transcription elongation factor A like 6 [Source:HGNC Symbol;Acc:HGNC:24553],569.53906,450.36252,613.03735,452.32693,448.5617,427.6677,193.48502
TCEAL5,ENSG00000204065,transcription elongation factor A like 5 [Source:HGNC Symbol;Acc:HGNC:22282],465.03268,385.56772,528.16223,414.59225,407.39044,363.14624,232.44807
RTL8A,ENSG00000203950,retrotransposon Gag like 8A [Source:HGNC Symbol;Acc:HGNC:24514],346.24506,374.8476,373.25662,399.04538,386.70193,443.21326,516.19653
GDI1,ENSG00000203879,GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226],830.20593,848.35486,922.62244,862.70166,860.1513,888.2654,778.0789
ARMCX6,ENSG00000198960,armadillo repeat containing X-linked 6 [Source:HGNC Symbol;Acc:HGNC:26094],27.39251,26.493935,29.173582,34.31245,33.250153,42.909267,46.900803
DMD,ENSG00000198947,dystrophin [Source:HGNC Symbol;Acc:HGNC:2928],4.5598,4.9767776,4.1710286,5.046628,5.318827,5.430093,5.147391
MAGEE1,ENSG00000198934,MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934],646.55646,485.3692,578.4154,386.85986,435.0433,386.13275,156.11592
GPRASP1,ENSG00000198932,G protein-coupled receptor associated sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:24834],797.9229,691.8798,636.9986,597.3977,570.4689,591.2465,324.04898
CSAG1,ENSG00000198930,chondrosarcoma associated gene 1 [Source:HGNC Symbol;Acc:HGNC:24294],1.759437,1.4378177,2.2094488,1.422748,2.3298292,1.8177905,0
RPL39,ENSG00000198918,ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350],24.185684,26.080532,27.187538,20.81924,26.516521,31.52586,30.476076
L1CAM,ENSG00000198910,L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470],240.9878,219.29967,205.87485,176.3332,180.0015,191.24947,60.85348
BHLHB9,ENSG00000198908,basic helix-loop-helix family member b9 [Source:HGNC Symbol;Acc:HGNC:29353],36.76985,29.51675,39.752872,29.376608,30.888233,28.327793,18.562832
PNMA5,ENSG00000198883,PNMA family member 5 [Source:HGNC Symbol;Acc:HGNC:18743],62.724354,45.430202,63.58331,39.28228,34.170097,37.21714,8.591723
ASB12,ENSG00000198881,ankyrin repeat and SOCS box containing 12 [Source:HGNC Symbol;Acc:HGNC:19763],2.0268164,0.87593895,1.174715,0.520055,0.37849736,0.9843767,1.8179779
GK,ENSG00000198814,glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289],13.649517,12.891424,11.448545,10.27908,11.237254,11.415241,9.107674
EGFL6,ENSG00000198759,EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235],0.48456427,0.6674306,0.68701774,0.41711703,0.20871046,0.21712142,0.16404
PLXNB3,ENSG00000198753,plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105],162.43152,389.13702,105.5109,550.25134,390.2462,622.83636,750.53326
SLC9A6,ENSG00000198689,solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079],41.34606,36.420185,44.44766,30.950684,41.0956,35.614986,25.249168
ZXDA,ENSG00000198205,zinc finger X-linked duplicated A [Source:HGNC Symbol;Acc:HGNC:13198],185.99562,207.62883,168.22987,201.12738,205.40564,225.35005,267.62756
HMGN5,ENSG00000198157,high mobility group nucleosome binding domain 5 [Source:HGNC Symbol;Acc:HGNC:8013],1.7112033,1.8845999,1.9923375,2.0286517,1.9258149,1.8603228,1.8632079
NUP62CL,ENSG00000198088,nucleoporin 62 C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960],0.10842459,0.2707373,0.10589941,0.26789972,0.20472701,0.25861546,0.22476196
RPS4X,ENSG00000198034,ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424],79.36949,86.37084,100.31026,95.62044,100.900185,101.805145,105.63114
ZNF81,ENSG00000197779,zinc finger protein 81 [Source:HGNC Symbol;Acc:HGNC:13156],3.0604854,3.3643162,2.4408913,3.2686489,2.60852,3.0490365,3.4982939
COL4A6,ENSG00000197565,collagen type IV alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:2208],0.102151886,0.15832196,0.2521352,0.2349939,0.15392625,0.12009708,0.242336
CXorf40B,ENSG00000197021,endothelium and lymphocyte associated ASCH domain 2 [Source:HGNC Symbol;Acc:HGNC:17402],58.971004,57.934223,57.628002,60.23579,55.968475,59.738083,61.009865
WDR45,ENSG00000196998,WD repeat domain 45 [Source:HGNC Symbol;Acc:HGNC:28912],46.46308,44.263687,51.793495,44.8854,48.265926,48.552917,48.878273
LAGE3,ENSG00000196976,L antigen family member 3 [Source:HGNC Symbol;Acc:HGNC:26058],131.63197,127.53365,147.58885,82.88677,123.09604,114.48784,86.925224
SMIM10L2B,ENSG00000196972,small integral membrane protein 10 like 2B [Source:HGNC Symbol;Acc:HGNC:34500],8.851932,5.42537,6.736965,3.579005,6.186422,2.3710594,0.31278193
FLNA,ENSG00000196924,filamin A [Source:HGNC Symbol;Acc:HGNC:3754],179.39882,206.87462,145.7011,191.55034,177.46297,212.6115,160.47433
POU3F4,ENSG00000196767,POU class 3 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:9217],13.447117,12.785311,13.639088,6.3256545,9.730818,5.224757,3.618467
LINC01560,ENSG00000196741,long intergenic non-protein coding RNA 1560 [Source:HGNC Symbol;Acc:HGNC:27333],12.769354,15.245112,15.033164,17.747448,8.718731,19.147974,14.889718
TLR7,ENSG00000196664,toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631],7.8574495,11.723832,11.646475,14.799573,18.397848,15.831923,24.182165
WNK3,ENSG00000196632,WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543],12.031118,10.977688,12.85154,9.883654,11.4415245,10.250108,9.247118
TCEAL3,ENSG00000196507,transcription elongation factor A like 3 [Source:HGNC Symbol;Acc:HGNC:28247],78.91187,80.88898,85.54371,96.2894,89.455284,92.43574,95.685394
TRAPPC2,ENSG00000196459,trafficking protein particle complex 2 [Source:HGNC Symbol;Acc:HGNC:23068],19.560556,19.520435,18.11423,20.06067,17.509409,21.880596,18.85095
ARMCX4,ENSG00000196440,armadillo repeat containing X-linked 4 [Source:HGNC Symbol;Acc:HGNC:28615],14.630165,13.561162,8.548218,14.027229,10.31796,12.816934,10.752053
NUDT11,ENSG00000196368,nudix hydrolase 11 [Source:HGNC Symbol;Acc:HGNC:18011],70.34336,47.97127,83.56539,33.7854,55.87874,44.317413,15.767022
NLGN3,ENSG00000196338,neuroligin 3 [Source:HGNC Symbol;Acc:HGNC:14289],116.567444,125.14403,105.14356,138.58942,129.38863,143.79674,155.55602
GSPT2,ENSG00000189369,G1 to S phase transition 2 [Source:HGNC Symbol;Acc:HGNC:4622],202.35545,160.40749,219.60295,137.69504,170.24966,148.26822,129.00636
MAOA,ENSG00000189221,monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833],12.978959,12.4079,15.383248,10.729513,12.1228285,12.034383,7.509979
IL1RAPL2,ENSG00000189108,interleukin 1 receptor accessory protein like 2 [Source:HGNC Symbol;Acc:HGNC:5997],0.38368228,0.3329305,0.2863727,0.29520142,0.27883142,0.27115074,0.07084533
TRMT2B,ENSG00000188917,tRNA methyltransferase 2 homolog B [Source:HGNC Symbol;Acc:HGNC:25748],14.799747,13.24079,12.801101,10.736374,11.607421,12.045672,9.814556
GLRA4,ENSG00000188828,glycine receptor alpha 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31715],2.3329601,1.5728647,1.2890513,1.452621,1.8123794,1.7086598,1.6322103
ZDHHC9,ENSG00000188706,zinc finger DHHC-type palmitoyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:18475],33.70095,60.052532,33.633945,75.407974,77.78121,89.61973,110.60004
CHM,ENSG00000188419,CHM Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1940],10.4945755,9.682207,12.114233,8.62027,10.967306,9.071872,7.551285
NHS,ENSG00000188158,NHS actin remodeling regulator [Source:HGNC Symbol;Acc:HGNC:7820],3.0146294,2.723633,2.8558044,1.8131707,1.8649877,1.8525945,0.7373213
COL4A5,ENSG00000188153,collagen type IV alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:2207],6.398864,16.638853,5.3066483,22.043222,20.795757,27.62171,36.429195
UBQLN2,ENSG00000188021,ubiquilin 2 [Source:HGNC Symbol;Acc:HGNC:12509],562.1749,465.40015,563.76074,445.0139,526.2848,521.82074,384.8244
MAGEH1,ENSG00000187601,MAGE family member H1 [Source:HGNC Symbol;Acc:HGNC:24092],612.8591,525.7043,777.3407,641.1168,668.3598,670.24664,697.876
TAF9B,ENSG00000187325,TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306],85.42866,86.91501,109.307686,93.75116,105.04512,108.76835,96.08176
MAGED4B,ENSG00000187243,MAGE family member D4B [Source:HGNC Symbol;Acc:HGNC:22880],15.62921,10.900448,17.088764,7.640226,15.209811,11.399194,5.655866
P2RY4,ENSG00000186912,pyrimidinergic receptor P2Y4 [Source:HGNC Symbol;Acc:HGNC:8542],11.912226,15.498683,9.447802,25.095669,10.654405,19.792454,23.394127
ERCC6L,ENSG00000186871,"ERCC excision repair 6 like, spindle assembly checkpoint helicase [Source:HGNC Symbol;Acc:HGNC:20794]",0.08728288,0.09807581,0.10960726,0.09704788,0.03531585,0.36739066,0.067850865
SPIN2B,ENSG00000186787,spindlin family member 2B [Source:HGNC Symbol;Acc:HGNC:33147],46.061417,36.755054,49.45958,48.24569,57.531853,36.247406,38.92026
SPIN4,ENSG00000186767,spindlin family member 4 [Source:HGNC Symbol;Acc:HGNC:27040],47.850376,50.765057,49.108337,40.78055,44.520283,47.54131,37.102913
MAGEE2,ENSG00000186675,MAGE family member E2 [Source:HGNC Symbol;Acc:HGNC:24935],55.135616,33.974434,46.90294,28.674477,24.287617,28.635252,11.9249325
AKAP14,ENSG00000186471,A-kinase anchoring protein 14 [Source:HGNC Symbol;Acc:HGNC:24061],0.2813505,0.31614074,0.6561501,0.3128273,0.1951513,0.6598015,0.046867
NAP1L2,ENSG00000186462,nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638],1152.9412,902.0081,1348.8451,746.04803,941.5599,769.0447,334.26797
NKRF,ENSG00000186416,NFKB repressing factor [Source:HGNC Symbol;Acc:HGNC:19374],71.74021,59.13971,76.496086,52.686306,64.2886,57.813377,33.42246
ZNF75D,ENSG00000186376,zinc finger protein 75D [Source:HGNC Symbol;Acc:HGNC:13145],3.1726022,3.1989744,2.8759105,2.8617501,2.8946521,3.5817292,3.07468
CA5BP1,ENSG00000186312,carbonic anhydrase 5B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29544],10.592853,11.824656,11.034275,12.897826,13.237457,11.621957,13.364249
NAP1L3,ENSG00000186310,nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639],1245.9265,987.8281,1502.7369,790.4063,1131.5078,993.84216,568.22345
SLITRK2,ENSG00000185985,SLIT and NTRK like family member 2 [Source:HGNC Symbol;Acc:HGNC:13449],170.56133,158.5731,167.71452,149.69894,147.78073,159.82689,155.53812
TMLHE,ENSG00000185973,"trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]",3.4266639,2.831897,3.5327086,3.3860111,3.280579,2.9312267,3.0934181
BCAP31,ENSG00000185825,B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695],45.145332,43.639767,50.738194,38.55242,47.79296,43.57571,37.017494
CXorf38,ENSG00000185753,chromosome X open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:28589],8.720508,12.248547,11.62018,14.274868,9.938431,16.089602,14.631424
BRCC3,ENSG00000185515,BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185],9.214984,9.266805,8.800481,10.848636,9.21161,9.0694685,7.6525273
TCEAL9,ENSG00000185222,transcription elongation factor A like 9 [Source:HGNC Symbol;Acc:HGNC:30084],71.93516,97.907074,92.2425,79.41982,98.38631,96.59399,105.73614
F8,ENSG00000185010,coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546],2.997599,3.2742126,4.0993376,2.7047603,3.3846045,3.2105205,2.5315385
DMRTC1B,ENSG00000184911,DMRT like family C1B [Source:HGNC Symbol;Acc:HGNC:31686],0.13928741,0.25041747,0.52473897,0.29425403,0.16907278,0.10553181,0.032483246
TCEAL2,ENSG00000184905,transcription elongation factor A like 2 [Source:HGNC Symbol;Acc:HGNC:29818],115.26987,92.72359,118.271286,95.52135,97.03815,87.84853,53.368893
ARMCX2,ENSG00000184867,armadillo repeat containing X-linked 2 [Source:HGNC Symbol;Acc:HGNC:16869],262.36325,243.4175,295.11975,231.86418,251.00215,245.92015,150.79565
APOO,ENSG00000184831,apolipoprotein O [Source:HGNC Symbol;Acc:HGNC:28727],8.071652,6.7043824,7.8799243,5.545821,6.7705064,6.637008,4.3463864
SMIM10,ENSG00000184785,small integral membrane protein 10 [Source:HGNC Symbol;Acc:HGNC:41913],33.715443,17.426874,31.33075,22.492466,22.099602,34.059566,20.443241
AMER1,ENSG00000184675,APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:HGNC:26837],35.4021,32.085705,27.076633,26.403852,21.692575,25.816887,18.686716
MED12,ENSG00000184634,mediator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:11957],116.78313,147.7738,89.273766,154.59932,123.9795,158.72324,168.52338
BEX5,ENSG00000184515,brain expressed X-linked 5 [Source:HGNC Symbol;Acc:HGNC:27990],402.20264,340.06635,475.7544,322.29755,345.4367,295.94165,130.47443
FOXO4,ENSG00000184481,forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139],127.40155,183.72876,134.1496,224.98135,243.95906,267.03928,351.7696
MAP7D2,ENSG00000184368,MAP7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25899],22.478334,19.058126,21.845924,15.518559,16.73238,16.06595,5.1321273
SRPK3,ENSG00000184343,SRSF protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:11402],97.62901,204.69534,66.1499,280.20602,196.77222,306.8499,363.2885
IRAK1,ENSG00000184216,interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112],128.01958,128.06577,146.86513,103.41396,124.52302,117.44716,101.99999
TSPYL2,ENSG00000184205,TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358],786.6861,746.37305,768.63556,730.9866,622.8456,656.53625,380.37363
GPR173,ENSG00000184194,G protein-coupled receptor 173 [Source:HGNC Symbol;Acc:HGNC:18186],16.114195,14.5424595,13.344427,15.307054,13.322412,14.780583,14.462361
FAM120C,ENSG00000184083,family with sequence similarity 120C [Source:HGNC Symbol;Acc:HGNC:16949],12.065276,14.632394,11.207748,13.627894,13.695018,15.23553,15.8438015
PRKX,ENSG00000183943,protein kinase X-linked [Source:HGNC Symbol;Acc:HGNC:9441],3.0849788,3.7853227,2.6899757,4.9975915,3.900239,5.745118,5.700082
PNMA3,ENSG00000183837,PNMA family member 3 [Source:HGNC Symbol;Acc:HGNC:18742],294.9002,245.27171,224.29994,199.42027,149.52464,156.79485,45.38952
EFHC2,ENSG00000183690,EF-hand domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26233],1.7313497,1.5092933,1.949705,1.1470792,1.2398722,1.2640419,0.3870936
TREX2,ENSG00000183479,three prime repair exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12270],20.797897,22.109947,22.476482,23.124716,22.101406,26.60443,21.005867
BCOR,ENSG00000183337,BCL6 corepressor [Source:HGNC Symbol;Acc:HGNC:20893],15.417794,17.341898,11.5714245,20.203272,17.734274,21.023693,23.876087
TCEAL7,ENSG00000182916,transcription elongation factor A like 7 [Source:HGNC Symbol;Acc:HGNC:28336],216.87321,205.12854,250.79494,240.07652,294.49243,273.2566,239.54623
RBM10,ENSG00000182872,RNA binding motif protein 10 [Source:HGNC Symbol;Acc:HGNC:9896],50.27288,48.78994,48.910824,59.02497,48.29916,59.717884,57.41525
CMC4,ENSG00000182712,C-X9-C motif containing 4 [Source:HGNC Symbol;Acc:HGNC:35428],10.404624,12.045482,16.761202,14.373194,16.58427,17.783463,19.485247
VCX,ENSG00000182583,variable charge X-linked [Source:HGNC Symbol;Acc:HGNC:12667],0,1.7911602,2.6690123,2.9539785,0.644974,3.3548312,0
FAM104B,ENSG00000182518,family with sequence similarity 104 member B [Source:HGNC Symbol;Acc:HGNC:25085],11.038497,10.243651,13.723889,10.50266,15.132183,12.482648,13.447785
LHFPL1,ENSG00000182508,LHFPL tetraspan subfamily member 1 [Source:HGNC Symbol;Acc:HGNC:6587],2.084725,2.1150823,3.5075254,1.8678697,2.1620016,2.0446632,1.4868585
BGN,ENSG00000182492,biglycan [Source:HGNC Symbol;Acc:HGNC:1044],45.857075,46.12792,37.84466,59.38359,51.66345,65.10137,61.396385
XKRX,ENSG00000182489,XK related X-linked [Source:HGNC Symbol;Acc:HGNC:29845],1.125774,1.1947043,0.6283171,0.4867811,0.45550355,1.7374874,1.1668532
AP1S2,ENSG00000182287,adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560],27.226534,34.14249,36.13045,30.692493,35.67424,35.89796,35.070408
ATP6AP2,ENSG00000182220,ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305],77.228226,70.29742,88.43453,62.964714,81.19663,77.94295,65.31108
LDOC1,ENSG00000182195,LDOC1 regulator of NFKB signaling [Source:HGNC Symbol;Acc:HGNC:6548],482.98334,391.36697,489.21393,419.4701,441.23694,441.64545,374.04822
YIPF6,ENSG00000181704,Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304],10.433615,11.897894,14.983236,10.796879,14.765093,13.957817,14.8161745
FANCB,ENSG00000181544,FA complementation group B [Source:HGNC Symbol;Acc:HGNC:3583],10.50958,16.078594,16.886185,20.254635,25.023268,25.215017,35.130157
SAGE1,ENSG00000181433,sarcoma antigen 1 [Source:HGNC Symbol;Acc:HGNC:30369],0.33533135,0.28259742,0.47373655,0.1864237,0,0,0.24438341
PJA1,ENSG00000181191,praja ring finger ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:16648],458.83066,395.08627,527.9164,393.64468,432.93582,402.8667,296.76154
TCEAL8,ENSG00000180964,transcription elongation factor A like 8 [Source:HGNC Symbol;Acc:HGNC:28683],231.57416,223.40173,289.09,209.42552,266.73578,202.2252,219.62927
SSR4,ENSG00000180879,signal sequence receptor subunit 4 [Source:HGNC Symbol;Acc:HGNC:11326],115.23046,108.98773,123.563774,111.18776,150.81793,140.44708,137.16873
MAP3K15,ENSG00000180815,mitogen-activated protein kinase kinase kinase 15 [Source:HGNC Symbol;Acc:HGNC:31689],0.1546332,0.26063144,0.1699108,0.27222753,0.1407751,0.17899235,0.13523264
MED14,ENSG00000180182,mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370],32.517075,40.1186,27.681622,41.183945,39.88648,49.426334,52.60641
SLITRK4,ENSG00000179542,SLIT and NTRK like family member 4 [Source:HGNC Symbol;Acc:HGNC:23502],191.25601,133.45085,198.19511,98.05771,118.9039,101.11933,33.636086
TMEM31,ENSG00000179363,transmembrane protein 31 [Source:HGNC Symbol;Acc:HGNC:28601],4.1613317,8.992113,2.411851,11.389271,10.879498,12.530574,9.70465
MAGED1,ENSG00000179222,MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813],49.81329,44.120102,51.873474,40.30026,45.11998,41.70175,27.029577
FAM133A,ENSG00000179083,family with sequence similarity 133 member A [Source:HGNC Symbol;Acc:HGNC:26748],3.6589828,2.34939,4.5620217,2.4119449,3.553139,3.1682823,2.529461
SMIM10L2A,ENSG00000178947,small integral membrane protein 10 like 2A [Source:HGNC Symbol;Acc:HGNC:34499],7.9908676,4.2146206,2.8670557,8.522219,3.959038,4.118586,2.4720585
TMEM187,ENSG00000177854,transmembrane protein 187 [Source:HGNC Symbol;Acc:HGNC:13705],6.512786,5.5962105,6.7352877,7.0284376,8.4867735,8.103134,6.1424007
ZBTB33,ENSG00000177485,zinc finger and BTB domain containing 33 [Source:HGNC Symbol;Acc:HGNC:16682],126.9779,107.41355,155.34964,103.67055,105.39957,108.32609,84.17159
RPS6KA3,ENSG00000177189,ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432],19.35226,17.703848,20.159124,14.266112,17.174124,16.610016,11.19363
TCEANC,ENSG00000176896,transcription elongation factor A N-terminal and central domain containing [Source:HGNC Symbol;Acc:HGNC:28277],3.1623576,2.4990926,3.2293231,2.4728997,3.3324106,2.896235,2.9580805
KCNE5,ENSG00000176076,potassium voltage-gated channel subfamily E regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:6241],16.972166,10.679676,15.345462,11.322582,18.12933,11.144508,14.249096
LONRF3,ENSG00000175556,LON peptidase N-terminal domain and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:21152],9.876092,8.888127,8.1532345,6.786871,5.7165027,5.860271,3.918648
PABPC5,ENSG00000174740,poly(A) binding protein cytoplasmic 5 [Source:HGNC Symbol;Acc:HGNC:13629],22.305765,27.035295,24.548893,36.78392,31.638966,31.015121,32.14677
ZCCHC12,ENSG00000174460,zinc finger CCHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:27273],317.3291,209.72502,332.60944,174.64786,181.40073,163.4158,53.7607
